"rgn_id","Year","pressure_score"
2,1984,0.037
2,1985,0.093
2,1986,0.071
2,1987,0.083
2,1988,0.085
2,1989,0.089
2,1990,0.131
2,1991,0.085
2,1992,0.082
2,1995,0.054
2,1998,0.048
2,2001,0.056
2,2005,0.016
2,2007,0.058
2,2009,0.061
3,1984,0.037
3,1985,0.093
3,1986,0.071
3,1987,0.083
3,1988,0.085
3,1989,0.089
3,1990,0.131
3,1991,0.085
3,1992,0.082
3,1995,0.054
3,1998,0.048
3,2001,0.056
3,2005,0.016
3,2007,0.058
3,2009,0.061
4,1984,0.037
4,1985,0.093
4,1986,0.071
4,1987,0.083
4,1988,0.085
4,1989,0.089
4,1990,0.131
4,1991,0.085
4,1992,0.082
4,1995,0.054
4,1998,0.048
4,2001,0.056
4,2005,0.016
4,2007,0.058
4,2009,0.061
5,1984,0.037
5,1985,0.093
5,1986,0.071
5,1987,0.083
5,1988,0.085
5,1989,0.089
5,1990,0.131
5,1991,0.085
5,1992,0.082
5,1995,0.054
5,1998,0.048
5,2001,0.056
5,2005,0.016
5,2007,0.058
5,2009,0.061
6,1984,0.037
6,1985,0.093
6,1986,0.071
6,1987,0.083
6,1988,0.085
6,1989,0.089
6,1990,0.131
6,1991,0.085
6,1992,0.082
6,1995,0.054
6,1998,0.048
6,2001,0.056
6,2005,0.016
6,2007,0.058
6,2009,0.061
7,2016,0.026
8,2016,0.035
