rgn_id,habitat,year,km2
1,mangrove,2015,485.418822
1,mangrove_inland1km,2015,270.670991
1,mangrove_offshore,2015,61.149969
2,mangrove,2015,485.418822
2,mangrove_inland1km,2015,270.670991
2,mangrove_offshore,2015,61.149969
3,mangrove,2015,485.418822
3,mangrove_inland1km,2015,270.670991
3,mangrove_offshore,2015,61.149969
4,mangrove,2015,485.418822
4,mangrove_inland1km,2015,270.670991
4,mangrove_offshore,2015,61.149969
5,mangrove,2015,485.418822
5,mangrove_inland1km,2015,270.670991
5,mangrove_offshore,2015,61.149969
6,mangrove,2015,485.418822
6,mangrove_inland1km,2015,270.670991
6,mangrove_offshore,2015,61.149969
7,mangrove,2015,485.418822
7,mangrove_inland1km,2015,270.670991
7,mangrove_offshore,2015,61.149969
8,mangrove,2015,485.418822
8,mangrove_inland1km,2015,270.670991
8,mangrove_offshore,2015,61.149969
