rgn_id,year,usd
1,1998,9345174102
1,2002,10805600069
1,2004,12825801916
1,2005,14141916592
1,2006,14331231239
1,2007,16825547177
1,2008,20715086119
1,2009,21368165400
1,2010,22915004297
1,2011,23874165048
2,1998,9345174102
2,2002,10805600069
2,2004,12825801916
2,2005,14141916592
2,2006,14331231239
2,2007,16825547177
2,2008,20715086119
2,2009,21368165400
2,2010,22915004297
2,2011,23874165048
3,1998,9345174102
3,2002,10805600069
3,2004,12825801916
3,2005,14141916592
3,2006,14331231239
3,2007,16825547177
3,2008,20715086119
3,2009,21368165400
3,2010,22915004297
3,2011,23874165048
4,1998,9345174102
4,2002,10805600069
4,2004,12825801916
4,2005,14141916592
4,2006,14331231239
4,2007,16825547177
4,2008,20715086119
4,2009,21368165400
4,2010,22915004297
4,2011,23874165048
5,1998,9345174102
5,2002,10805600069
5,2004,12825801916
5,2005,14141916592
5,2006,14331231239
5,2007,16825547177
5,2008,20715086119
5,2009,21368165400
5,2010,22915004297
5,2011,23874165048
6,1998,9345174102
6,2002,10805600069
6,2004,12825801916
6,2005,14141916592
6,2006,14331231239
6,2007,16825547177
6,2008,20715086119
6,2009,21368165400
6,2010,22915004297
6,2011,23874165048
7,1998,9345174102
7,2002,10805600069
7,2004,12825801916
7,2005,14141916592
7,2006,14331231239
7,2007,16825547177
7,2008,20715086119
7,2009,21368165400
7,2010,22915004297
7,2011,23874165048
8,1998,9345174102
8,2002,10805600069
8,2004,12825801916
8,2005,14141916592
8,2006,14331231239
8,2007,16825547177
8,2008,20715086119
8,2009,21368165400
8,2010,22915004297
8,2011,23874165048
