rgn_id,count,year
1,10074490,1960
1,10373284,1961
1,10683653,1962
1,11005491,1963
1,11338544,1964
1,11682873,1965
1,12038204,1966
1,12405366,1967
1,12786833,1968
1,13185844,1969
1,13604627,1970
1,14044585,1971
1,14504939,1972
1,14983047,1973
1,15475026,1974
1,15978207,1975
1,16491793,1976
1,17017107,1977
1,17556181,1978
1,18111999,1979
1,18686808,1980
1,19282215,1981
1,19898033,1982
1,20532688,1983
1,21183696,1984
1,21849853,1985
1,22527517,1986
1,23218477,1987
1,23933171,1988
1,24685791,1989
1,25484814,1990
1,26337403,1991
1,27236099,1992
1,28157055,1993
1,29067333,1994
1,29944302,1995
1,30780453,1996
1,31586039,1997
1,32378333,1998
1,33183093,1999
1,34020512,2000
1,34895398,2001
1,35806497,2002
1,36760831,2003
1,37765139,2004
1,38824384,2005
1,39942347,2006
1,41119693,2007
1,42353790,2008
1,43639752,2009
1,44973330,2010
1,46354607,2011
1,47783107,2012
2,10074490,1960
2,10373284,1961
2,10683653,1962
2,11005491,1963
2,11338544,1964
2,11682873,1965
2,12038204,1966
2,12405366,1967
2,12786833,1968
2,13185844,1969
2,13604627,1970
2,14044585,1971
2,14504939,1972
2,14983047,1973
2,15475026,1974
2,15978207,1975
2,16491793,1976
2,17017107,1977
2,17556181,1978
2,18111999,1979
2,18686808,1980
2,19282215,1981
2,19898033,1982
2,20532688,1983
2,21183696,1984
2,21849853,1985
2,22527517,1986
2,23218477,1987
2,23933171,1988
2,24685791,1989
2,25484814,1990
2,26337403,1991
2,27236099,1992
2,28157055,1993
2,29067333,1994
2,29944302,1995
2,30780453,1996
2,31586039,1997
2,32378333,1998
2,33183093,1999
2,34020512,2000
2,34895398,2001
2,35806497,2002
2,36760831,2003
2,37765139,2004
2,38824384,2005
2,39942347,2006
2,41119693,2007
2,42353790,2008
2,43639752,2009
2,44973330,2010
2,46354607,2011
2,47783107,2012
3,10074490,1960
3,10373284,1961
3,10683653,1962
3,11005491,1963
3,11338544,1964
3,11682873,1965
3,12038204,1966
3,12405366,1967
3,12786833,1968
3,13185844,1969
3,13604627,1970
3,14044585,1971
3,14504939,1972
3,14983047,1973
3,15475026,1974
3,15978207,1975
3,16491793,1976
3,17017107,1977
3,17556181,1978
3,18111999,1979
3,18686808,1980
3,19282215,1981
3,19898033,1982
3,20532688,1983
3,21183696,1984
3,21849853,1985
3,22527517,1986
3,23218477,1987
3,23933171,1988
3,24685791,1989
3,25484814,1990
3,26337403,1991
3,27236099,1992
3,28157055,1993
3,29067333,1994
3,29944302,1995
3,30780453,1996
3,31586039,1997
3,32378333,1998
3,33183093,1999
3,34020512,2000
3,34895398,2001
3,35806497,2002
3,36760831,2003
3,37765139,2004
3,38824384,2005
3,39942347,2006
3,41119693,2007
3,42353790,2008
3,43639752,2009
3,44973330,2010
3,46354607,2011
3,47783107,2012
4,10074490,1960
4,10373284,1961
4,10683653,1962
4,11005491,1963
4,11338544,1964
4,11682873,1965
4,12038204,1966
4,12405366,1967
4,12786833,1968
4,13185844,1969
4,13604627,1970
4,14044585,1971
4,14504939,1972
4,14983047,1973
4,15475026,1974
4,15978207,1975
4,16491793,1976
4,17017107,1977
4,17556181,1978
4,18111999,1979
4,18686808,1980
4,19282215,1981
4,19898033,1982
4,20532688,1983
4,21183696,1984
4,21849853,1985
4,22527517,1986
4,23218477,1987
4,23933171,1988
4,24685791,1989
4,25484814,1990
4,26337403,1991
4,27236099,1992
4,28157055,1993
4,29067333,1994
4,29944302,1995
4,30780453,1996
4,31586039,1997
4,32378333,1998
4,33183093,1999
4,34020512,2000
4,34895398,2001
4,35806497,2002
4,36760831,2003
4,37765139,2004
4,38824384,2005
4,39942347,2006
4,41119693,2007
4,42353790,2008
4,43639752,2009
4,44973330,2010
4,46354607,2011
4,47783107,2012
5,10074490,1960
5,10373284,1961
5,10683653,1962
5,11005491,1963
5,11338544,1964
5,11682873,1965
5,12038204,1966
5,12405366,1967
5,12786833,1968
5,13185844,1969
5,13604627,1970
5,14044585,1971
5,14504939,1972
5,14983047,1973
5,15475026,1974
5,15978207,1975
5,16491793,1976
5,17017107,1977
5,17556181,1978
5,18111999,1979
5,18686808,1980
5,19282215,1981
5,19898033,1982
5,20532688,1983
5,21183696,1984
5,21849853,1985
5,22527517,1986
5,23218477,1987
5,23933171,1988
5,24685791,1989
5,25484814,1990
5,26337403,1991
5,27236099,1992
5,28157055,1993
5,29067333,1994
5,29944302,1995
5,30780453,1996
5,31586039,1997
5,32378333,1998
5,33183093,1999
5,34020512,2000
5,34895398,2001
5,35806497,2002
5,36760831,2003
5,37765139,2004
5,38824384,2005
5,39942347,2006
5,41119693,2007
5,42353790,2008
5,43639752,2009
5,44973330,2010
5,46354607,2011
5,47783107,2012
6,10074490,1960
6,10373284,1961
6,10683653,1962
6,11005491,1963
6,11338544,1964
6,11682873,1965
6,12038204,1966
6,12405366,1967
6,12786833,1968
6,13185844,1969
6,13604627,1970
6,14044585,1971
6,14504939,1972
6,14983047,1973
6,15475026,1974
6,15978207,1975
6,16491793,1976
6,17017107,1977
6,17556181,1978
6,18111999,1979
6,18686808,1980
6,19282215,1981
6,19898033,1982
6,20532688,1983
6,21183696,1984
6,21849853,1985
6,22527517,1986
6,23218477,1987
6,23933171,1988
6,24685791,1989
6,25484814,1990
6,26337403,1991
6,27236099,1992
6,28157055,1993
6,29067333,1994
6,29944302,1995
6,30780453,1996
6,31586039,1997
6,32378333,1998
6,33183093,1999
6,34020512,2000
6,34895398,2001
6,35806497,2002
6,36760831,2003
6,37765139,2004
6,38824384,2005
6,39942347,2006
6,41119693,2007
6,42353790,2008
6,43639752,2009
6,44973330,2010
6,46354607,2011
6,47783107,2012
7,10074490,1960
7,10373284,1961
7,10683653,1962
7,11005491,1963
7,11338544,1964
7,11682873,1965
7,12038204,1966
7,12405366,1967
7,12786833,1968
7,13185844,1969
7,13604627,1970
7,14044585,1971
7,14504939,1972
7,14983047,1973
7,15475026,1974
7,15978207,1975
7,16491793,1976
7,17017107,1977
7,17556181,1978
7,18111999,1979
7,18686808,1980
7,19282215,1981
7,19898033,1982
7,20532688,1983
7,21183696,1984
7,21849853,1985
7,22527517,1986
7,23218477,1987
7,23933171,1988
7,24685791,1989
7,25484814,1990
7,26337403,1991
7,27236099,1992
7,28157055,1993
7,29067333,1994
7,29944302,1995
7,30780453,1996
7,31586039,1997
7,32378333,1998
7,33183093,1999
7,34020512,2000
7,34895398,2001
7,35806497,2002
7,36760831,2003
7,37765139,2004
7,38824384,2005
7,39942347,2006
7,41119693,2007
7,42353790,2008
7,43639752,2009
7,44973330,2010
7,46354607,2011
7,47783107,2012
8,10074490,1960
8,10373284,1961
8,10683653,1962
8,11005491,1963
8,11338544,1964
8,11682873,1965
8,12038204,1966
8,12405366,1967
8,12786833,1968
8,13185844,1969
8,13604627,1970
8,14044585,1971
8,14504939,1972
8,14983047,1973
8,15475026,1974
8,15978207,1975
8,16491793,1976
8,17017107,1977
8,17556181,1978
8,18111999,1979
8,18686808,1980
8,19282215,1981
8,19898033,1982
8,20532688,1983
8,21183696,1984
8,21849853,1985
8,22527517,1986
8,23218477,1987
8,23933171,1988
8,24685791,1989
8,25484814,1990
8,26337403,1991
8,27236099,1992
8,28157055,1993
8,29067333,1994
8,29944302,1995
8,30780453,1996
8,31586039,1997
8,32378333,1998
8,33183093,1999
8,34020512,2000
8,34895398,2001
8,35806497,2002
8,36760831,2003
8,37765139,2004
8,38824384,2005
8,39942347,2006
8,41119693,2007
8,42353790,2008
8,43639752,2009
8,44973330,2010
8,46354607,2011
8,47783107,2012
