rgn_id,year,taxa_code,sust_coeff
1,2012,Giant tiger prawn_816,0.366666667
1,2012,Indo-Pacific swamp crab_817,0.416666667
1,2012,Milkfish_818,0.414285714
2,2012,Giant tiger prawn_816,0.366666667
2,2012,Indo-Pacific swamp crab_817,0.416666667
2,2012,Milkfish_818,0.414285714
3,2012,Giant tiger prawn_816,0.366666667
3,2012,Indo-Pacific swamp crab_817,0.416666667
3,2012,Milkfish_818,0.414285714
4,2012,Giant tiger prawn_816,0.366666667
4,2012,Indo-Pacific swamp crab_817,0.416666667
4,2012,Milkfish_818,0.414285714
5,2012,Giant tiger prawn_816,0.366666667
5,2012,Indo-Pacific swamp crab_817,0.416666667
5,2012,Milkfish_818,0.414285714
6,2012,Giant tiger prawn_816,0.366666667
6,2012,Indo-Pacific swamp crab_817,0.416666667
6,2012,Milkfish_818,0.414285714
7,2012,Giant tiger prawn_816,0.366666667
7,2012,Indo-Pacific swamp crab_817,0.416666667
7,2012,Milkfish_818,0.414285714
8,2012,Giant tiger prawn_816,0.366666667
8,2012,Indo-Pacific swamp crab_817,0.416666667
8,2012,Milkfish_818,0.414285714
