"rgn_id","habitat","boolean","layer"
2,"mangrove",1,"element_wts_hab_pres_abs"
3,"mangrove",1,"element_wts_hab_pres_abs"
4,"mangrove",1,"element_wts_hab_pres_abs"
5,"mangrove",1,"element_wts_hab_pres_abs"
6,"mangrove",1,"element_wts_hab_pres_abs"
7,"mangrove",1,"element_wts_hab_pres_abs"
8,"mangrove",1,"element_wts_hab_pres_abs"
1,"seagrass",1,"element_wts_hab_pres_abs"
2,"seagrass",1,"element_wts_hab_pres_abs"
3,"seagrass",1,"element_wts_hab_pres_abs"
4,"seagrass",1,"element_wts_hab_pres_abs"
5,"seagrass",1,"element_wts_hab_pres_abs"
6,"seagrass",1,"element_wts_hab_pres_abs"
7,"seagrass",1,"element_wts_hab_pres_abs"
8,"seagrass",1,"element_wts_hab_pres_abs"
2,"coral",1,"element_wts_hab_pres_abs"
3,"coral",1,"element_wts_hab_pres_abs"
4,"coral",1,"element_wts_hab_pres_abs"
5,"coral",1,"element_wts_hab_pres_abs"
6,"coral",1,"element_wts_hab_pres_abs"
7,"coral",1,"element_wts_hab_pres_abs"
8,"coral",1,"element_wts_hab_pres_abs"
